item_id	source_path	start	end	source_hash
ZS1-070	src/core.rs	0	262144	0d4d0d1aef706528fe1a91ec9846ab4ea365c61e08c67d23a6a794a26c49916e
ZS1-070	src/core.rs	262144	279620	0d4d0d1aef706528fe1a91ec9846ab4ea365c61e08c67d23a6a794a26c49916e
ZS1-300	codex-rs/tui/src/bottom_pane/chat_composer.rs	0	262144	234189c66f50c8654ef72e86ad5463eea5dd1e0c09c98f8d64c898449161b6da
ZS1-300	codex-rs/tui/src/bottom_pane/chat_composer.rs	262144	374943	234189c66f50c8654ef72e86ad5463eea5dd1e0c09c98f8d64c898449161b6da
ZS1-084	src/headless.rs	0	262144	bf252fec95a859b26f9aea402c918e9efbf6c2c55d3e24b403831f86d80ec06e
ZS1-084	src/headless.rs	262144	370207	bf252fec95a859b26f9aea402c918e9efbf6c2c55d3e24b403831f86d80ec06e
ZS1-085	src/tui.rs	0	262144	83f5aa5b91f83cdcde80cc43936baafe8c681eb3f885b4fe9b213affa0217681
ZS1-085	src/tui.rs	262144	524288	83f5aa5b91f83cdcde80cc43936baafe8c681eb3f885b4fe9b213affa0217681
ZS1-085	src/tui.rs	524288	681440	83f5aa5b91f83cdcde80cc43936baafe8c681eb3f885b4fe9b213affa0217681
