item_id	source_path	start	end	source_hash
ZS1-084	src/headless.rs	0	262144	1c3b14bda2533e82e498372f0d570cf899833a06e41fd6cd70b8cf7cc385b478
ZS1-084	src/headless.rs	262144	312227	1c3b14bda2533e82e498372f0d570cf899833a06e41fd6cd70b8cf7cc385b478
ZS1-085	src/tui.rs	0	262144	3cbc9db903d7bd197b5eb285c7a8d38f5b21ed00a2d8824a900699c866cd9ca0
ZS1-085	src/tui.rs	262144	323172	3cbc9db903d7bd197b5eb285c7a8d38f5b21ed00a2d8824a900699c866cd9ca0
ZS1-300	codex-rs/tui/src/bottom_pane/chat_composer.rs	0	262144	234189c66f50c8654ef72e86ad5463eea5dd1e0c09c98f8d64c898449161b6da
ZS1-300	codex-rs/tui/src/bottom_pane/chat_composer.rs	262144	374943	234189c66f50c8654ef72e86ad5463eea5dd1e0c09c98f8d64c898449161b6da
